               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.032664,            0.018308,           0.0021639,               0.878,             0.84237,             0.88204,             0.49629,            0.031763,            0.015544,           0.0070609,            0.006535,            0.006535,            0.006535
                 107,            0.032619,            0.018398,           0.0020807,             0.87518,             0.84351,             0.88203,             0.49648,            0.031761,            0.015545,           0.0070663,            0.006502,            0.006502,            0.006502
                 108,            0.032587,            0.018273,           0.0021089,              0.8878,             0.83206,             0.88221,              0.4972,            0.031746,            0.015539,           0.0070486,            0.006469,            0.006469,            0.006469
                 109,            0.032708,            0.018265,           0.0021595,             0.87071,             0.85051,             0.88276,             0.49704,            0.031729,            0.015535,           0.0070502,            0.006436,            0.006436,            0.006436
                 110,            0.032817,            0.018248,           0.0021033,             0.87195,             0.84863,             0.88286,             0.49744,            0.031723,            0.015537,           0.0070407,            0.006403,            0.006403,            0.006403
                 111,            0.032325,            0.018205,           0.0020489,             0.87285,             0.84941,             0.88356,             0.49777,            0.031726,            0.015541,           0.0070242,             0.00637,             0.00637,             0.00637
                 112,            0.032406,            0.018046,           0.0020181,             0.87225,             0.84975,             0.88399,             0.49761,            0.031727,             0.01554,           0.0070258,            0.006337,            0.006337,            0.006337
                 113,            0.032698,            0.018289,           0.0020826,             0.87176,             0.84864,             0.88404,              0.4979,            0.031717,            0.015536,           0.0070138,            0.006304,            0.006304,            0.006304
                 114,            0.032661,            0.018246,           0.0020331,             0.88056,             0.84437,             0.88446,             0.49786,             0.03171,            0.015534,           0.0070084,            0.006271,            0.006271,            0.006271
                 115,            0.032498,            0.018023,           0.0020187,             0.88028,             0.84532,             0.88439,             0.49805,            0.031708,             0.01553,           0.0069974,            0.006238,            0.006238,            0.006238
                 116,            0.032389,            0.018194,           0.0020867,             0.87532,             0.84854,             0.88453,              0.4979,              0.0317,            0.015529,           0.0069806,            0.006205,            0.006205,            0.006205
                 117,            0.032236,            0.018211,           0.0019186,             0.87489,             0.84913,             0.88417,              0.4981,             0.03169,            0.015529,           0.0069735,            0.006172,            0.006172,            0.006172
                 118,            0.032433,            0.018186,            0.002017,             0.88099,             0.84336,             0.88425,             0.49799,            0.031686,            0.015526,           0.0069789,            0.006139,            0.006139,            0.006139
                 119,            0.032091,             0.01801,           0.0019858,             0.88086,             0.84333,             0.88431,             0.49842,            0.031682,            0.015527,           0.0069846,            0.006106,            0.006106,            0.006106
                 120,            0.032151,            0.018024,           0.0019742,             0.88077,             0.84383,             0.88444,             0.49835,            0.031694,            0.015528,           0.0069922,            0.006073,            0.006073,            0.006073
